year,month,precip,tmax,tmin,tmed,PET,BAL,SPEI1,SPEI3,SPEI6,SPEI9,SPEI12,SPEI24,year_cont
1965,4,75.8,12.756666666666666,1.2733333333333334,7.015,42.767325008560796,33.0326749914392,-0.22505398913023572,-0.25459516440384733,0.24988461304526627,0.9581900174017115,-0.11917134825584348,-0.16060137521431614,1965.25
1965,5,119.4,8.109677419354838,-0.7193548387096774,3.6951612903225803,24.534473506332304,94.8655264936677,-0.1286979749611872,-0.6616261232757029,-0.023466440361465158,0.4490796444651104,0.3722410082115472,0.01454715638490426,1965.3333333333333
1965,6,281.90000000000003,9.07,1.3599999999999999,5.215,36.72992230738754,245.1700776926125,1.6784604481712435,0.6265464725964108,0.6219068719184353,0.8379440066280704,1.1928819460104176,0.7567263501954637,1965.4166666666667
1965,7,80.1,5.138709677419355,-1.967741935483871,1.585483870967742,11.56031357295896,68.53968642704103,-0.2893698459435106,0.7827440452848443,0.3289938541075187,0.619452335559475,1.2093732044235572,0.6976035370470133,1965.5
1965,8,128.6,6.945161290322581,-1.4806451612903226,2.732258064516129,16.3040635710451,112.29593642895489,1.273059767961108,1.451750038953592,0.5248866487644692,1.0039500760718922,1.2092393129978567,0.9450623683424276,1965.5833333333333
1965,9,12.4,9.36,-1.0133333333333332,4.173333333333333,24.566125429556045,-12.166125429556045,-0.24540789671623817,0.4058872180325742,0.7230774422948235,0.7590975966401706,0.9046818220901867,0.7119376565918561,1965.6666666666667
1965,10,96.89999999999999,12.993548387096775,1.0064516129032257,7,34.43829815179356,62.46170184820643,1.6222378583316266,1.1619543573670077,1.448252790720772,1.0358173920794096,1.16667914530061,0.5117105413814603,1965.75
1965,11,67.9,16.476666666666667,3.68,10.078333333333333,44.881271575734175,23.01872842426583,1.4454389121018032,1.1939817988241759,1.7297173821882341,1.1486391121182276,1.3945311894362444,0.6199233591427479,1965.8333333333333
1965,12,24.7,16.525806451612905,3.5129032258064514,10.019354838709678,40.27871912784884,-15.578719127848839,0.6899032682942936,1.5730927801804138,1.1617994022035472,1.4352329371746224,1.35731496688064,0.5743572184802391,1965.9166666666667
1966,1,1.3,21.36774193548387,5.938709677419355,13.653225806451612,57.430277626609524,-56.13027762660953,-0.7143887342100957,0.8064818131532892,1.1894801101404227,1.529425238519615,1.2013583229217957,0.5554432185581354,1966
1966,2,8.6,19.367857142857144,2.5678571428571426,10.967857142857143,51.69155217913636,-43.09155217913636,-0.5300764570039863,-0.30836752396386463,0.7935167983816062,1.5343233109893237,1.0326443007557786,0.6631173168702125,1966.0833333333333
1966,3,46.1,17.793548387096774,4.832258064516129,11.312903225806451,58.41323995204505,-12.313239952045052,-0.4356817851329715,-0.8448721242628598,0.7900054400442416,0.7376432366858866,1.1227393202447713,0.7566499432445295,1966.1666666666667
1966,4,95.8,13.946666666666667,3.48,8.713333333333333,52.60512678607363,43.194873213926364,-0.06168792369986453,-0.5278067923447568,-0.059664931539149604,0.7311268103610036,1.1754033322253892,0.6897986835130545,1966.25
1966,5,141.5,11.638709677419355,1.6645161290322579,6.651612903225806,43.010281671564286,98.48971832843571,-0.07812581763518024,-0.4529986530455874,-0.6134539042035599,0.19633907925872704,1.145083125085983,0.9426752801462499,1966.3333333333333
1966,6,142,6.713333333333334,-0.2366666666666666,3.2383333333333337,23.30274997669794,118.69725002330206,0.32893063092841124,-0.1949149401143586,-0.571088668907861,0.30954180215129534,0.4963204754868967,1.069150533337568,1966.4166666666667
1966,7,121.10000000000001,5.248387096774193,-1.1225806451612903,2.0629032258064512,14.864078177497928,106.23592182250208,0.366039468316156,0.07848337622606467,-0.3666808365442382,-0.12590528982162133,0.6496868139492009,1.1914863800024456,1966.5
1966,8,28.599999999999998,8.148387096774194,-1.8387096774193548,3.1548387096774193,18.70416861082338,9.895831389176617,-0.3841582429678632,0.0775601833509288,-0.45686039447432525,-0.5615154391354814,0.059902505983577874,0.8881226370793587,1966.5833333333333
1966,9,33.9,10.29,-1.5433333333333332,4.373333333333333,25.689198935526807,8.210801064473191,0.21841754886393122,-0.009850348581819416,-0.2884534067780709,-0.5952811815805227,0.12778833153592348,0.7226648156160648,1966.6666666666667
